8,35,2,0,0
7,4,7,0,1
7,24,12,1,0
9,27,31,0,1
9,31,2,1,0
8,24,8,1,1
7,5,9,1,1
8,10,13,0,1
9,34,17,1,1
10,15,28,1,1
8,29,18,0,0
9,30,16,0,0
10,32,33,1,0
9,1,34,0,1
9,7,4,0,0
10,11,16,0,1
9,26,13,1,0
10,14,12,0,1
9,20,35,0,1
8,19,21,1,0
11,32,2,1,1
11,8,9,1,1
9,10,4,0,0
10,28,14,1,0
8,5,15,1,1
11,17,27,0,0
9,24,7,0,0
12,12,29,1,0
8,18,30,1,1
11,33,31,0,0
12,8,19,0,1
11,16,31,0,0
11,28,5,0,0
9,21,34,1,0
10,10,4,1,1
10,20,9,1,1
11,11,21,0,0
9,2,13,1,1
12,15,18,0,0
10,29,17,1,0
12,32,19,1,0
10,1,24,1,1
11,30,12,0,0
12,33,35,1,1
11,1,17,0,1
11,10,7,1,1
12,16,32,0,1
10,26,29,0,1
10,2,27,1,1
10,18,28,1,1
12,31,8,0,0
11,24,33,1,1
12,34,5,0,1
11,19,13,1,1
12,14,20,0,0
12,1,26,0,1
12,7,2,1,0
14,8,29,0,0
12,9,31,0,1
12,10,17,0,0
13,14,11,1,0
11,4,13,1,1
12,30,15,1,0
12,19,16,0,0
12,27,35,0,0
13,28,21,0,0
14,32,20,0,0
14,12,34,1,1
12,4,1,0,0
11,5,7,1,1
13,9,12,1,0
15,8,16,1,0
11,18,10,0,0
14,33,24,1,1
13,27,26,1,1
14,34,31,1,1
13,11,14,1,1
14,15,21,0,0
12,2,17,1,1
13,20,29,1,1
13,30,19,0,1
15,32,13,0,0
15,33,35,0,1
14,9,21,0,0
15,14,7,0,0
13,26,2,0,1
13,24,1,1,0
16,8,31,0,1
16,12,10,0,1
14,30,16,1,0
16,17,33,0,1
15,15,18,1,0
14,20,4,0,0
16,32,29,1,1
14,28,34,1,0
13,18,2,1,1
16,15,5,1,1
14,11,19,0,1
15,13,14,1,1
15,30,21,1,0
14,24,16,0,0
17,33,26,1,1
15,28,7,0,0
16,31,27,0,0
16,34,32,1,1
13,35,20,0,0
17,12,8,1,1
15,9,7,0,1
15,1,35,0,1
18,33,2,1,1
17,17,5,1,0
17,15,11,0,0
17,16,27,0,0
15,26,24,1,0
15,19,28,1,0
16,30,13,0,0
17,31,10,0,0
16,24,4,1,1
19,33,7,1,1
18,8,34,0,0
16,9,17,0,0
16,11,13,0,0
16,27,12,1,1
17,14,19,0,1
18,31,18,1,0
16,20,1,0,0
16,10,21,1,0
18,16,26,1,1
15,29,32,1,1
14,5,35,1,1
17,28,29,1,0
16,2,30,1,1
17,1,27,0,0
15,5,31,0,1
17,10,8,1,0
17,26,9,1,1
17,2,11,1,1
18,14,4,0,0
20,33,20,1,1
19,17,34,1,0
18,7,20,0,0
19,12,21,0,0
18,13,18,0,1
19,16,24,0,0
17,19,8,0,1
18,28,11,0,0
16,4,30,1,1
20,16,1,1,0
19,7,5,1,1
21,33,10,1,1
18,15,28,0,1
20,17,18,1,0
18,24,21,1,0
18,19,27,1,0
19,32,31,1,0
19,34,26,0,1
16,35,9,0,1
20,32,8,1,0
21,31,12,1,1
18,2,29,1,1
19,27,5,1,0
19,1,10,1,0
19,11,26,0,1
21,16,17,1,1
17,18,13,0,0
19,30,19,1,1
19,20,21,0,0
20,28,4,0,0
22,33,9,0,1
18,29,34,1,1
17,35,24,0,0
20,20,1,1,0
18,5,19,0,0
21,12,8,0,1
20,13,30,0,1
19,15,14,1,0
20,10,16,1,1
22,31,7,0,0
21,32,2,0,1
18,4,11,1,1
20,15,26,0,0
20,9,24,1,1
20,27,18,0,0
19,29,34,0,0
22,17,33,1,0
19,21,35,1,1
23,8,5,1,0
20,2,14,1,0
21,7,16,1,0
19,35,17,1,1
21,26,28,1,1
21,13,1,1,0
20,21,4,1,1
24,8,11,0,1
19,18,30,0,1
20,29,19,1,1
21,20,24,0,1
21,9,27,1,1
22,32,15,0,0
21,14,34,1,1
22,9,2,1,0
22,7,29,0,0
22,12,1,0,0
20,5,16,1,0
22,11,21,1,1
22,24,10,0,1
22,28,34,0,0
22,26,31,1,1
22,19,33,1,1
20,35,17,0,1
20,18,5,1,1
23,7,10,1,1
22,30,15,0,1
23,1,29,0,1
24,34,2,1,1
23,12,11,0,0
25,33,13,1,1
21,35,15,1,0
22,20,16,1,1
23,9,17,1,1
23,19,14,0,0
22,21,31,0,1
23,24,27,1,0
23,32,28,0,1
24,12,4,1,1
22,5,13,0,0
23,2,7,1,0
24,1,8,1,1
23,29,10,1,0
21,18,27,0,1
24,9,26,1,1
22,35,28,1,1
24,11,31,1,1
26,16,14,1,0
26,17,26,0,0
25,34,24,1,1
23,21,30,1,1
23,20,33,1,1
24,29,5,1,1
25,9,28,0,1
23,35,11,1,0
27,33,12,1,1
24,15,16,0,1
24,27,34,0,1
24,20,4,1,0
25,7,19,0,0
24,21,14,1,1
24,2,17,1,1
25,24,8,0,1
24,35,30,1,1
27,8,1,1,1
26,24,2,1,1
24,5,10,1,0
26,11,16,0,0
22,4,12,1,0
25,27,13,1,0
25,21,15,1,1
22,18,29,0,1
25,20,7,0,0
26,31,26,1,1
24,32,9,0,0
28,33,34,0,0
26,28,16,0,0
28,17,30,1,0
25,19,31,1,1
25,13,10,0,1
26,15,17,0,1
27,7,21,0,0
27,9,8,0,1
25,14,12,1,1
25,5,18,1,1
26,19,35,0,0
27,24,4,0,0
29,33,28,1,1
26,30,11,0,1
28,31,2,0,0
26,10,20,0,0
28,11,9,0,0
27,21,13,1,1
